hostname,country,language
5septiembre.cu,cu,es
adelante.cu,cu,es
ahora.cu,cu,es
ecured.cu,cu,es
elhabanero.cubaweb.cu,cu,es
escambray.cu,cu,es
giron.cu,cu,es
guerrillero.cu,cu,es
havanatimes.org,cu,es
invasor.cu,cu,es
lademajagua.co.cu,cu,es
periodico26.cu,cu,es
prensa-latina.cu,cu,es
sierramaestra.cu,cu,es
tribuna.cu,cu,es
venceremos.cu,cu,es
jungefreiheit.de,de,de
rp-online.de,de,de
taz.de,de,de
www.abendblatt.de,de,de
www.augsburger-allgemeine.de,de,de
www.az-web.de,de,de
www.badische-zeitung.de,de,de
www.berliner-zeitung.de,de,de
www.bild.de,de,de
www.bnr.de,de,de
www.braunschweiger-zeitung.de,de,de
www.cicero.de,de,de
www.derwesten.de,de,de
www.derwesten.de,de,de
www.faz.net,de,de
www.focus.de,de,de
www.frankfurter-hefte.de,de,de
www.fr.de,de,de
www.freiepresse.de,de,de
www.freitag.de,de,de
www.handelsblatt.com,de,de
www.haz.de,de,de
www.hna.de,de,de
www.ipg-journal.de,de,de
www.jungewelt.de,de,de
www.lvz.de,de,de
www.main-post.de,de,de
www.merkur.de,de,de
www.morgenpost.de,de,de
www.neues-deutschland.de,de,de
www.noz.de,de,de
www.nw.de,de,de
www.nwzonline.de,de,de
www.pnp.de,de,de
www.preussische-allgemeine.de,de,de
www.rheinpfalz.de,de,de
www.rhein-zeitung.de,de,de
www.ruhrnachrichten.de,de,de
www.saarbruecker-zeitung.de,de,de
www.saechsische.de,de,de
www.schwaebische.de,de,de
www.schwarzwaelder-bote.de,de,de
www.stern.de,de,de
www.stuttgarter-zeitung.de,de,de
www.sueddeutsche.de,de,de
www.suedkurier.de,de,de
www.swp.de,de,de
www.tagesspiegel.de,de,de
www.thueringer-allgemeine.de,de,de
www.volksstimme.de,de,de
www.wa.de,de,de
www.waz.de,de,de
www.welt.de,de,de
www.weser-kurier.de,de,de
www.westfaelische-nachrichten.de,de,de
www.westfalen-blatt.de,de,de
www.wiwo.de,de,de
www.wr.de,de,de
www.zeit.de,de,de
zeitschrift-ip.dgap.org,de,de
arbejderen.dk,dk,da
berlingske.dk,dk,da
borsen.dk,dk,da
bt.dk,dk,da
cphpost.dk,dk,da
ekstrabladet.dk,dk,da
information.dk,dk,da
jyllands-posten.dk,dk,da
kristeligt-dagblad.dk,dk,da
politiken.dk,dk,da
sondagsavisen.dk,dk,da
weekendavisen.dk,dk,da
hbl.fi,fi,sv
m.alandstidningen.ax,fi,sv
nyan.ax,fi,sv
osterbottenstidning.fi,fi,sv
ostnyland.fi,fi,sv
sydin.fi,fi,sv
vasabladet.fi,fi,sv
vastranyland.fi,fi,sv
auvergnat.com,fr,fr
dailynord.fr,fr,fr
infodujour.fr,fr,fr
international.la-croix.com,fr,fr
